,index,size,option,root,dtx,expiry_date,strike,pc,price,theo,side,exch,date,date_time,volume,cond,ivol,ivol_chg,delta,spot,spot_chg,vega_dollar,cond_extra,hilo,events,bid,ask,open_int,bid_exch,bid_size,ask_size,ask_exch
291,3070,1000,EZA221118C00040000,EZA,18,2022-11-18,40.0,C,0.57,0.507799,1,[AMEX],2022-10-31,2022-10-31 14:39:11.414000-04:00,1001,FLR,0.399527,0.050907,0.296191,37.965,-0.535,2928.0,OPENING,,,0.35,0.7,11,MIAX,42.0,153.0,PHLX
292,3072,4207,PRG230120C00017500,PRG,81,2023-01-20,17.5,C,1.4,1.44857,-1,ARCA,2022-10-31,2022-10-31 14:41:06.913000-04:00,5009,FLR,0.571519,-0.001649,0.476079,16.485,0.315,12998.0,OPENING,,,1.35,1.6,1219,PHLX,16.0,247.0,PHLX
293,3073,5000,OHI230120P00028000,OHI,81,2023-01-20,28.0,P,0.7,0.604841,2,BOX,2022-10-31,2022-10-31 14:46:19.096000-04:00,5004,FLR,0.378506,0.036913,-0.204379,31.685,0.085,21271.0,OPENING,,,0.5,0.7,2862,PHLX,292.0,20.0,MIAX
294,3080,500,MTZ221118C00080000,MTZ,18,2022-11-18,80.0,C,2.4,2.35693,1,BOX,2022-10-31,2022-10-31 15:12:46.813000-04:00,501,SPRD/FLR,0.525016,0.024526,0.400935,76.975,0.255,3316.0,OPENING,,,2.2,2.5,247,PHLX,40.0,40.0,PHLX
295,3085,500,PYCR221216C00035000,PYCR,46,2022-12-16,35.0,C,1.0,1.17613,-1,ARCA,2022-10-31,2022-10-31 15:21:35.814000-04:00,500,SPRD/FLR,0.552785,-0.065263,0.294597,30.57,0.06,1879.0,OPENING,,,0.85,1.55,36,CBOE,56.0,36.0,AMEX
296,3089,500,ACLX221216P00017500,ACLX,46,2022-12-16,17.5,P,1.0,1.90115,-1,AMEX,2022-10-31,2022-10-31 15:24:40.348000-04:00,500,SPRD/FLR,1.05568,-0.584331,-0.175355,23.385,1.375,1066.0,OPENING,,,0.4,2.6,0,EDGX,282.0,70.0,AMEX
297,3090,500,ACLX221118C00025000,ACLX,18,2022-11-18,25.0,C,2.15,2.22506,1,AMEX,2022-10-31,2022-10-31 15:24:40.349000-04:00,650,SPRD/FLR,1.32628,-0.220477,0.477573,23.385,1.375,1040.0,OPENING,,,0.9,2.8,6,CBOE,37.0,38.0,AMEX
298,3145,500,MOH221216C00470000,MOH,45,2022-12-16,470.0,C,0.15,2.42781,-2,ARCA,2022-11-01,2022-11-01 12:04:56.499000-04:00,500,,0.336223,-0.173766,0.01138,354.15,-4.71,1951.0,OPENING,,,0.15,4.7,0,ARCA,500.0,25.0,MIAX
299,3160,750,UYG221118C00050000,UYG,17,2022-11-18,50.0,C,0.53,0.554352,-1,[BOX],2022-11-01,2022-11-01 12:40:59.568000-04:00,750,FLR,0.448414,0.001671,0.224603,46.145,0.145,2258.0,OPENING,,,0.5,0.6,0,PHLX,10.0,20.0,PHLX
300,3165,1300,SPYG221118C00055000,SPYG,17,2022-11-18,55.0,C,0.35,0.376881,-1,BOX,2022-11-01,2022-11-01 12:44:38.707000-04:00,1301,FLR,0.295427,-0.010575,0.197522,51.805,-0.555,4099.0,OPENING,,,0.3,0.45,538,CBOE,373.0,1059.0,CBOE
301,3166,851,LKQ221216P00045000,LKQ,45,2022-12-16,45.0,P,0.3,0.32684,-2,[MULTI],2022-11-01,2022-11-01 12:50:21.702000-04:00,825,ISO,0.377244,-0.041579,-0.088755,53.405,-2.235,2589.0,OPENING,,,0.3,0.35,20,BZX,21.0,3.0,BZX
302,3167,849,LKQ221216P00042500,LKQ,45,2022-12-16,42.5,P,0.15,0.150666,-2,[MULTI],2022-11-01,2022-11-01 12:50:21.723000-04:00,850,,0.402568,-0.036945,-0.04688,53.41,-2.23,1584.0,OPENING,,,0.15,0.2,0,BZX,242.0,48.0,MIAX
303,3170,5304,DOCS221118P00022500,DOCS,17,2022-11-18,22.5,P,0.947115,0.86769,1,[MULTI],2022-11-01,2022-11-01 12:59:16.428000-04:00,5305,,1.15302,0.084935,-0.221333,26.395,-0.075,9033.0,OPENING,,,0.8,0.95,2043,PHLX,55.0,281.0,PHLX
304,3205,1500,PYCR221216C00035000,PYCR,45,2022-12-16,35.0,C,0.85,0.906789,-1,AMEX,2022-11-01,2022-11-01 14:53:53.691000-04:00,1500,FLR,0.61822,0.004343,0.249034,29.57,-0.9,4931.0,OPENING,,,0.7,1.05,536,BZX,13.0,14.0,BZX
305,3207,2165,JBHT221118C00175000,JBHT,17,2022-11-18,175.0,C,3.46,3.64215,1,PHLX,2022-11-01,2022-11-01 15:01:41.479000-04:00,2510,AUCT,0.304146,-0.010596,0.430688,172.695,1.62496,31751.0,OPENING,,,3.1,3.8,545,NOM,29.0,20.0,PHLX
306,3226,500,MEOH221216C00040000,MEOH,44,2022-12-16,40.0,C,1.05,1.06895,2,AMEX,2022-11-02,2022-11-02 09:30:40.480000-04:00,500,,0.434794,-0.026996,0.319563,36.7293,-0.230745,2266.0,OPENING,,,0.0,1.05,2,EMLD,0.0,500.0,AMEX
307,3265,1225,BCAB221118P00005000,BCAB,16,2022-11-18,5.0,P,0.57498,0.3795,1,[ARCA],2022-11-02,2022-11-02 10:59:12.153000-04:00,1270,FLR,2.59066,0.466886,-0.199268,6.795,-0.395,493.0,OPENING,,,0.2,0.6,156,PHLX,147.0,142.0,CBOE
308,3276,500,FOXF221216C00095000,FOXF,44,2022-12-16,95.0,C,2.1,2.66802,-1,BOX,2022-11-02,2022-11-02 11:31:55.225000-04:00,501,FLR,0.527865,-0.016181,0.255939,82.135,-6.185,4611.0,OPENING,,,1.6,3.8,2,NOM,21.0,68.0,PHLX
309,3298,1081,NAVI230120P00012500,NAVI,79,2023-01-20,12.5,P,0.549889,0.472839,1,[MULTI],2022-11-02,2022-11-02 12:35:47.405000-04:00,1081,ISO,0.586228,0.044378,-0.210594,15.015,-0.115,2167.0,OPENING,,,0.4,0.55,324,PHLX,252.0,41.0,PHLX
310,3301,3018,FNKO221216C00025000,FNKO,44,2022-12-16,25.0,C,0.549556,0.478513,1,[MULTI],2022-11-02,2022-11-02 12:49:20.338000-04:00,3020,,0.725331,0.059762,0.219095,19.785,-0.975,6138.0,OPENING,,,0.4,0.55,81,EMLD,1.0,439.0,PHLX
311,3306,1999,FNKO221216C00025000,FNKO,44,2022-12-16,25.0,C,0.65,0.623964,2,[MULTI],2022-11-02,2022-11-02 12:58:43.850000-04:00,5027,ISO,0.755204,0.089635,0.241459,19.92,-0.84,4325.0,OPENING,,,0.6,0.65,81,MPRL,2.0,381.0,C2
312,3336,1025,SWIM221118C00005000,SWIM,16,2022-11-18,5.0,C,0.449415,0.3,1,[MULTI],2022-11-02,2022-11-02 14:02:43.079000-04:00,1125,,1.76834,0.432819,0.440277,4.585,-0.075,379.0,OPENING,,,0.3,0.45,39,BZX,11.0,202.0,BZX
313,3337,1125,SWIM221118C00005000,SWIM,16,2022-11-18,5.0,C,0.5,0.19369,2,[MULTI],2022-11-02,2022-11-02 14:02:55.344000-04:00,2250,,1.86078,0.525262,0.457786,4.62,-0.04,421.0,OPENING,,,0.1,0.5,39,MPRL,29.0,730.0,AMEX
314,3338,1969,SWIM221118C00005000,SWIM,16,2022-11-18,5.0,C,0.5,0.214578,2,[MULTI],2022-11-02,2022-11-02 14:03:11.643000-04:00,4219,,1.78765,0.452134,0.464291,4.67998,0.019984,746.0,OPENING,,,0.15,0.5,39,CBOE,4.0,509.0,AMEX
315,3356,1408,PPC230120C00025000,PPC,79,2023-01-20,25.0,C,1.29915,1.13366,1,[MULTI],2022-11-02,2022-11-02 15:09:15.593000-04:00,1408,,0.326868,0.003089,0.490985,24.26,0.84,6375.0,OPENING,,,1.0,1.3,724,PHLX,84.0,318.0,PHLX
316,3412,690,PHR221216C00030000,PHR,43,2022-12-16,30.0,C,1.0,0.989532,-1,AMEX,2022-11-03,2022-11-03 11:14:00.838000-04:00,690,FLR,0.713019,0.017403,0.296173,24.97,-0.99,2066.0,OPENING,,,0.6,2.2,8,BZX,16.0,287.0,CBOE
317,3417,750,BIZD221216P00014000,BIZD,43,2022-12-16,14.0,P,0.5,0.467958,-1,AMEX,2022-11-03,2022-11-03 11:19:36.148000-04:00,750,FLR,0.282405,-0.270078,-0.433492,14.725,0.055,1436.0,OPENING,,,0.0,3.0,0,MPRL,0.0,702.0,CBOE
318,3422,2998,BJ221216C00085000,BJ,43,2022-12-16,85.0,C,1.8,1.92154,-2,CBOE,2022-11-03,2022-11-03 11:48:04.167000-04:00,3015,FLR,0.376747,-0.008354,0.300263,78.415,2.315,28196.0,OPENING,,,1.8,2.05,1125,AMEX,83.0,160.0,PHLX
319,3434,550,ACM221118P00075000,ACM,15,2022-11-18,75.0,P,2.78164,2.58339,1,[MULTI],2022-11-03,2022-11-03 12:14:52.232000-04:00,778,,0.412166,0.040313,-0.519753,74.34,0.62,3326.0,OPENING,,,2.35,2.8,26,PHLX,117.0,189.0,PHLX
320,3441,999,FLYW221118C00022500,FLYW,15,2022-11-18,22.5,C,0.55989,0.432164,3,[MULTI],2022-11-03,2022-11-03 12:27:18.809000-04:00,1000,,0.980353,0.080888,0.245771,19.095,-0.935,1227.0,OPENING,,,0.3,0.55,24,EDGX,40.0,94.0,BOX
321,3443,10000,MMM230120C00135000,MMM,78,2023-01-20,135.0,C,1.88,1.94856,-1,PHLX,2022-11-03,2022-11-03 12:51:00.016000-04:00,10268,FLR,0.247439,-0.00602,0.242229,124.03,1.17,178609.0,OPENING,,,1.8,2.1,1270,NOM,1.0,50.0,PHLX
322,3444,9734,MMM230120C00135000,MMM,78,2023-01-20,135.0,C,1.88,1.9374,-2,PHLX,2022-11-03,2022-11-03 13:00:12.426000-04:00,10018,FLR,0.246174,-0.007285,0.242967,124.135,1.275,174283.0,OPENING,,,1.88,2.01,1270,NOM,1.0,23.0,BOX
323,3448,54200,CARG221118C00008000,CARG,15,2022-11-18,8.0,C,6.5,6.36235,2,EDGX,2022-11-03,2022-11-03 13:22:00.122000-04:00,54200,CROSS,2.00203,0.816537,0.949291,14.335,0.205,16612.0,OPENING,,,6.3,6.5,0,BOX,46.0,43.0,BOX
324,3533,1000,IONS221216P00040000,IONS,42,2022-12-16,40.0,P,1.21,1.45342,-1,MIAX,2022-11-04,2022-11-04 10:38:42.472000-04:00,1000,ISO/AUCT,0.423008,-0.09774,-0.286974,43.3066,-1.18342,4993.0,OPENING,,,0.5,3.0,27,CBOE,262.0,30.0,PHLX
325,3585,5000,ARES221216P00070000,ARES,42,2022-12-16,70.0,P,2.28,1.98289,-1,[ARCA],2022-11-04,2022-11-04 12:25:58.052000-04:00,5000,FLR,0.52491,0.020438,-0.253156,78.215,1.215,42188.0,OPENING,,,0.7,5.0,305,ARCA,1.0,32.0,PHLX
326,3637,1026,PPC230120C00026000,PPC,77,2023-01-20,26.0,C,0.899903,0.759235,2,[MULTI],2022-11-04,2022-11-04 15:03:02.791000-04:00,1026,,0.353138,0.050213,0.368126,24.07,0.29,4284.0,OPENING,,,0.65,0.9,15,PHLX,20.0,206.0,PHLX
327,3654,5000,PAYO221216C00009000,PAYO,42,2022-12-16,9.0,C,0.12,0.175437,-1,BOX,2022-11-04,2022-11-04 15:29:19.342000-04:00,5000,SPRD/FLR,0.743263,-0.091228,0.15159,6.865,-0.245,2710.0,OPENING,,,0.1,0.45,60,PHLX,364.0,494.0,PHLX
328,3677,6925,SYF221216P00032000,SYF,39,2022-12-16,32.0,P,0.924996,0.856303,1,[AMEX],2022-11-07,2022-11-07 10:01:36.673000-05:00,8021,FLR,0.497579,0.042946,-0.256097,35.0,-0.02,25634.0,OPENING,,,0.75,0.95,3754,PHLX,604.0,208.0,AMEX
329,3706,5324,TREX221216P00030000,TREX,39,2022-12-16,30.0,P,0.260002,0.349298,-1,[AMEX],2022-11-07,2022-11-07 11:09:30.548000-05:00,5324,FLR,0.727325,-0.043807,-0.054043,42.65,0.35,8193.0,OPENING,,,0.2,0.5,18,PHLX,72.0,88.0,CBOE
330,3709,3700,THC221216P00030000,THC,39,2022-12-16,30.0,P,0.35,0.247475,1,MIAX,2022-11-07,2022-11-07 11:14:17.323000-05:00,5331,AUCT,0.706657,-0.018791,-0.076802,40.4667,-1.27332,7098.0,OPENING,,,0.0,0.5,140,NOM,0.0,330.0,PHLX
331,3721,20000,SAVE221125C00022000,SAVE,18,2022-11-25,22.0,C,0.31,0.355752,-2,PHLX,2022-11-07,2022-11-07 11:49:55.296000-05:00,20000,COB/AUCT,0.256282,-0.019401,0.376311,21.515,0.035,36556.0,OPENING,,,0.31,0.41,11,NOM,51.0,70.0,BZX
332,3729,1000,MATV221216C00025000,MATV,39,2022-12-16,25.0,C,0.65,0.77117,-1,ARCA,2022-11-07,2022-11-07 12:13:23.052000-05:00,1000,FLR,0.412847,-0.024962,0.341672,23.755,0.525,2782.0,OPENING,,,0.55,1.0,231,PHLX,20.0,39.0,BOX
333,3760,8000,SLG230120P00032500,SLG,74,2023-01-20,32.5,P,1.14,1.09495,1,BXO,2022-11-07,2022-11-07 14:18:19.927000-05:00,8000,AUCT,0.498002,-0.012061,-0.213991,38.235,-0.435,39610.0,OPENING,,,1.0,1.2,40,PHLX,20.0,38.0,MIAX
334,3796,3739,SONO230120C00025000,SONO,73,2023-01-20,25.0,C,0.15924,0.104384,1,[MULTI],2022-11-08,2022-11-08 09:33:14.641000-05:00,3739,ISO,0.66464,-0.003404,0.085711,15.745,0.085,4136.0,OPENING,,,0.05,0.16,1018,PHLX,79.0,302.0,EDGX
335,3839,981,UDR221216C00040000,UDR,38,2022-12-16,40.0,C,1.03002,1.28992,-1,[AMEX],2022-11-08,2022-11-08 10:59:25.311000-05:00,981,FLR,0.427391,-0.029535,0.333677,37.955,0.165,4313.0,OPENING,,,0.4,2.7,9,MIAX,1.0,1.0,ARCA
336,3844,10000,RXT230120P00002500,RXT,73,2023-01-20,2.5,P,0.2,0.008026,-1,BOX,2022-11-08,2022-11-08 11:04:43.946000-05:00,10000,FLR,1.5131,0.796623,-0.0948,4.845,0.035,3654.0,OPENING,,,0.0,0.5,70,ARCA,0.0,1584.0,PHLX
337,3854,500,HDSN221216C00011000,HDSN,38,2022-12-16,11.0,C,0.74,0.772979,-1,[PHLX],2022-11-08,2022-11-08 11:29:45.810000-05:00,510,FLR,0.570423,0.009701,0.514865,10.89,0.09,700.0,OPENING,,,0.7,0.85,105,PHLX,134.0,64.0,BOX
338,3879,1000,FRGI221216C00007500,FRGI,38,2022-12-16,7.5,C,0.33,0.220316,1,[ARCA],2022-11-08,2022-11-08 13:00:41.658000-05:00,1500,FLR,0.809342,-0.06965,0.350944,6.535,-0.065,783.0,OPENING,,,0.05,0.35,42,MPRL,36.0,17.0,BZX
339,3883,945,FRGI221216C00007500,FRGI,38,2022-12-16,7.5,C,0.35,0.3,2,[MULTI],2022-11-08,2022-11-08 13:12:33.061000-05:00,2500,ISO,0.81337,-0.065622,0.349778,6.535,-0.065,738.0,OPENING,,,0.05,0.35,42,MPRL,36.0,132.0,BZX
340,3898,500,EUO221216C00035000,EUO,38,2022-12-16,35.0,C,0.4,0.375242,2,[MULTI],2022-11-08,2022-11-08 13:45:00.144000-05:00,900,,0.251564,0.008171,0.259386,32.99,-0.34,1738.0,OPENING,,,0.35,0.4,227,PHLX,20.0,279.0,BZX
341,3984,993,QQQM221216C00112000,QQQM,37,2022-12-16,112.0,C,3.5,3.72582,-3,PHLX,2022-11-09,2022-11-09 10:19:31.711000-05:00,1560,FLR,0.295239,-0.014457,0.465089,110.22,-0.66,13897.0,OPENING,,,3.6,3.9,13,PHLX,426.0,314.0,PHLX
342,3990,2300,HIVE221216P00002000,HIVE,37,2022-12-16,2.0,P,0.2,0.178357,2,[MIAX],2022-11-09,2022-11-09 10:35:57.997000-05:00,2520,AUCT,1.28693,0.198366,-0.263444,2.405,-0.155,572.0,OPENING,,,0.15,0.2,120,ARCA,19.0,302.0,EDGX
343,3996,1198,SUI221216P00120000,SUI,37,2022-12-16,120.0,P,1.2,2.53893,-1,ARCA,2022-11-09,2022-11-09 10:39:41.158000-05:00,1216,FLR,0.363618,-3.8e-05,-0.144355,134.29,-0.14,11776.0,OPENING,,,0.7,4.9,53,MIAX,50.0,20.0,PHLX
344,3998,1198,SUI221216P00120000,SUI,37,2022-12-16,120.0,P,1.5,2.19247,-1,ARCA,2022-11-09,2022-11-09 10:46:05.921000-05:00,1216,LATE,0.384311,0.020655,-0.164471,133.955,-0.475,12777.0,OPENING,,,0.1,4.7,53,PHLX,94.0,20.0,PHLX
345,4009,1350,BRBR221216P00022500,BRBR,37,2022-12-16,22.5,P,0.7,0.563084,1,PHLX,2022-11-09,2022-11-09 10:55:50.020000-05:00,1350,SPRD/FLR,0.608794,-0.056052,-0.221005,25.76,-0.66,3291.0,OPENING,,,0.0,0.9,0,MRX,0.0,159.0,CBOE
346,4010,900,BRBR221216P00022500,BRBR,37,2022-12-16,22.5,P,0.65,0.563084,1,PHLX,2022-11-09,2022-11-09 10:55:50.021000-05:00,2250,SPRD/FLR,0.588056,-0.07679,-0.215125,25.76,-0.66,2161.0,OPENING,,,0.0,0.9,0,MRX,0.0,159.0,CBOE
347,4016,1000,URTY221216C00049000,URTY,37,2022-12-16,49.0,C,1.85,1.77858,1,CBOE,2022-11-09,2022-11-09 11:12:26.610000-05:00,1000,,0.853142,-0.003636,0.30238,40.83,-1.66,4546.0,OPENING,,,1.7,1.9,3,PHLX,90.0,30.0,PHLX
348,4032,1230,CCK221216P00070000,CCK,37,2022-12-16,70.0,P,2.0,1.91883,1,[MULTI],2022-11-09,2022-11-09 12:23:33.843000-05:00,1546,,0.436599,0.030941,-0.287252,74.73,-2.02,10015.0,OPENING,,,1.85,2.1,279,PHLX,30.0,50.0,CBOE
349,4045,2400,CHTR221223P00345000,CHTR,44,2022-12-23,345.0,P,17.06,17.9566,-1,AMEX,2022-11-09,2022-11-09 12:46:08.519000-05:00,2400,CROSS,0.432513,-0.02873,-0.411099,351.445,-3.215,114105.0,OPENING,,,15.8,20.0,0,PHLX,30.0,11.0,BZX
350,4048,4000,FL221216P00027500,FL,37,2022-12-16,27.5,P,1.24,1.2053,1,[MULTI],2022-11-09,2022-11-09 12:49:03.500000-05:00,4015,AUCT,0.660571,0.002452,-0.281167,30.2751,-0.624946,13052.0,OPENING,,,1.15,1.25,163,PHLX,298.0,34.0,GEMX
351,4071,1000,URTY221216C00049000,URTY,37,2022-12-16,49.0,C,1.6,1.54706,1,[BOX],2022-11-09,2022-11-09 13:51:02.839000-05:00,2000,AUCT,0.861414,0.004636,0.275051,39.7849,-2.70509,4232.0,OPENING,,,1.45,1.65,3,PHLX,10.0,189.0,PHLX
352,4114,728,RWM230120C00026000,RWM,72,2023-01-20,26.0,C,0.900206,0.912317,-1,[MULTI],2022-11-09,2022-11-09 15:02:31.572000-05:00,3219,,0.316009,0.006774,0.396608,24.695,0.575,3076.0,OPENING,,,0.9,0.95,399,ARCA,521.0,484.0,CBOE
353,4138,841,OUT221216C00015000,OUT,37,2022-12-16,15.0,C,1.9,1.8414,-2,[MULTI],2022-11-09,2022-11-09 15:54:29.141000-05:00,1000,,0.553847,0.085628,0.745806,16.475,-0.015,1306.0,OPENING,,,1.9,1.95,0,CBOE,3.0,135.0,AMEX
354,4155,2400,CBRE221216C00080000,CBRE,36,2022-12-16,80.0,C,2.0,1.61162,3,PHLX,2022-11-10,2022-11-10 10:27:48.427000-05:00,2440,FLR,0.354106,0.052065,0.365778,76.3182,6.21816,21720.0,OPENING,,,1.5,1.9,1840,EMLD,67.0,144.0,PHLX
355,4156,500,RYLD221216C00021000,RYLD,36,2022-12-16,21.0,C,0.05,0.025556,2,[MULTI],2022-11-10,2022-11-10 10:31:31.723000-05:00,500,ISO,0.15486,-0.016241,0.112779,19.705,0.155,613.0,OPENING,,,0.0,0.05,149,C2,0.0,5.0,EMLD
356,4185,2994,MRTX221216P00030000,MRTX,36,2022-12-16,30.0,P,0.81,0.740106,-1,AMEX,2022-11-10,2022-11-10 11:31:17.705000-05:00,2994,SPRD/CROSS,1.75492,0.161608,-0.044105,65.895,3.955,5790.0,OPENING,,,0.05,4.8,960,PHLX,62.0,22.0,CBOE
357,4212,875,JEF221216P00037500,JEF,36,2022-12-16,37.5,P,2.1,2.02655,1,PHLX,2022-11-10,2022-11-10 12:39:16.493000-05:00,875,AUCT,0.317569,-0.017242,-0.604291,36.2547,2.73465,3841.0,OPENING,,,1.9,2.15,3,PHLX,132.0,304.0,PHLX
358,4213,500,ALHC221216C00012500,ALHC,36,2022-12-16,12.5,C,1.45,1.54961,-3,ARCA,2022-11-10,2022-11-10 12:43:21.509000-05:00,500,FLR,0.530468,-0.071324,0.707214,13.435,1.085,730.0,OPENING,,,1.5,1.65,0,ARCA,1.0,39.0,CBOE
359,4218,3000,PHG221216P00015000,PHG,36,2022-12-16,15.0,P,1.45,1.39896,1,AMEX,2022-11-10,2022-11-10 12:54:52.291000-05:00,3000,SPRD/FLR,0.461259,-0.030627,-0.66892,13.895,1.215,4754.0,OPENING,,,1.25,1.55,5,PHLX,115.0,48.0,BZX
360,4272,1028,FTCS221216C00077000,FTCS,36,2022-12-16,77.0,C,0.6,0.568691,2,[CBOE],2022-11-10,2022-11-10 14:41:49.483000-05:00,1214,ISO,0.132472,-0.086157,0.307475,75.445,2.175,8616.0,OPENING,,,0.55,0.6,0,C2,200.0,584.0,CBOE
361,4284,677,ICF221216C00058000,ICF,36,2022-12-16,58.0,C,0.971566,1.11617,-3,[MULTI],2022-11-10,2022-11-10 15:03:56.165000-05:00,677,,0.215618,-0.021943,0.392567,56.825,3.375,4597.0,OPENING,,,1.0,1.25,2,MIAX,14.0,17.0,BZX
362,4290,1034,IWR221216C00073000,IWR,36,2022-12-16,73.0,C,0.55,0.661698,-2,[MULTI],2022-11-10,2022-11-10 15:10:15.101000-05:00,1035,,0.197992,-0.06647,0.230774,69.595,3.675,6905.0,OPENING,,,0.55,0.95,1,AMEX,1016.0,51.0,PHLX
363,4331,1499,YMM230120C00007500,YMM,70,2023-01-20,7.5,C,0.5,0.405372,2,ARCA,2022-11-11,2022-11-11 09:38:02.937000-05:00,1499,,1.02905,0.055555,0.346349,6.085,0.505,1415.0,OPENING,,,0.3,0.5,201,AMEX,119.0,1740.0,ARCA
364,4344,500,MBIN221216C00025000,MBIN,35,2022-12-16,25.0,C,1.0,0.84845,2,GEMX,2022-11-11,2022-11-11 10:02:32.503000-05:00,500,,0.330047,-0.052524,0.521793,25.1925,0.262525,1523.0,OPENING,,,0.7,1.0,8,C2,1.0,25.0,GEMX
365,4372,670,SPESG230120C00370000,SPESG,70,2023-01-20,370.0,C,5.16,5.09963,1,CBOE,2022-11-11,2022-11-11 10:40:18.112000-05:00,670,COB/AUCT,0.207249,0.001505,0.27868,349.314,0.0,34434.0,OPENING,,,4.8,5.4,0,CBOE,20.0,20.0,CBOE
366,4382,9616,EWQ221216P00029000,EWQ,35,2022-12-16,29.0,P,0.49999,0.47473,2,[MULTI],2022-11-11,2022-11-11 10:51:35.645000-05:00,9867,ISO,0.451851,0.102505,-0.187345,32.735,0.515,26259.0,OPENING,,,0.4,0.5,5359,CBOE,1.0,70.0,PHLX
367,4401,635,VBTX221216C00030000,VBTX,35,2022-12-16,30.0,C,3.4,3.36373,1,BOX,2022-11-11,2022-11-11 11:45:21.831000-05:00,635,SPRD/FLR,0.403782,0.027694,0.792572,32.455,-0.145,1895.0,OPENING,,,1.95,4.8,0,AMEX,147.0,72.0,AMEX
368,4422,4000,D221216C00065000,D,35,2022-12-16,65.0,C,0.65,0.539751,2,BOX,2022-11-11,2022-11-11 12:49:38.188000-05:00,4038,SPRD/FLR,0.274402,0.018201,0.232829,61.1348,-1.23525,22929.0,OPENING,,,0.45,0.65,379,PHLX,291.0,1345.0,PHLX
369,4423,4000,D221216C00067500,D,35,2022-12-16,67.5,C,0.25,0.199731,2,BOX,2022-11-11,2022-11-11 12:49:38.188000-05:00,4002,SPRD/FLR,0.266203,0.019158,0.110403,61.135,-1.23501,14364.0,OPENING,,,0.15,0.25,357,BZX,228.0,1.0,ARCA
370,4470,500,COWZ221216P00049000,COWZ,35,2022-12-16,49.0,P,1.37,1.51221,-1,CBOE,2022-11-11,2022-11-11 15:11:43.525000-05:00,500,SPRD/LEG/FLR,0.205825,-0.014002,-0.519707,48.6901,0.680081,3000.0,OPENING,,,1.1,1.75,1,BZX,13.0,39.0,BZX
371,4471,500,COWZ221216C00049000,COWZ,35,2022-12-16,49.0,C,1.37,1.26442,1,CBOE,2022-11-11,2022-11-11 15:11:43.662000-05:00,502,SPRD/LEG/FLR,0.247108,0.027281,0.4887,48.69,0.68001,3003.0,OPENING,,,1.05,1.6,21,BZX,13.0,39.0,BZX
372,4503,1250,RL230120P00095000,RL,70,2023-01-20,95.0,P,3.55,3.38844,1,[MIAX],2022-11-11,2022-11-11 15:41:42.823000-05:00,1252,ISO/AUCT,0.441169,0.032988,-0.263195,105.445,9.99508,18754.0,OPENING,,,3.1,3.6,991,CBOE,173.0,156.0,PHLX
373,4504,2641,RL230120P00095000,RL,70,2023-01-20,95.0,P,3.55,3.42692,1,MIAX,2022-11-11,2022-11-11 15:42:40.452000-05:00,4643,ISO/AUCT,0.440304,0.032123,-0.263693,105.4,9.95037,39643.0,OPENING,,,3.2,3.6,991,PHLX,43.0,20.0,MPRL
374,4505,3359,RL230120P00095000,RL,70,2023-01-20,95.0,P,3.55,3.43561,1,MIAX,2022-11-11,2022-11-11 15:42:56.180000-05:00,8002,ISO/AUCT,0.436942,0.028761,-0.265699,105.21,9.76,50515.0,OPENING,,,3.2,3.6,991,BOX,54.0,20.0,MPRL
375,4536,9000,APLS221216P00035000,APLS,32,2022-12-16,35.0,P,1.4,1.4744,-2,AMEX,2022-11-14,2022-11-14 10:11:11.026000-05:00,10054,SPRD/FLR,1.08542,0.009654,-0.156013,45.91,0.76,29442.0,OPENING,,,1.4,1.55,8364,ARCA,4.0,100.0,BZX
376,4540,35771,ASHR221216C00030000,ASHR,32,2022-12-16,30.0,C,0.31,0.295369,1,MIAX,2022-11-14,2022-11-14 10:23:58.898000-05:00,36359,COB/AUCT,0.368031,0.001174,0.202228,27.385,-0.035,79937.0,OPENING,,,0.24,0.35,10560,PHLX,710.0,6.0,BOX
377,4573,8136,PM221216C00097500,PM,32,2022-12-16,97.5,C,1.3,1.36975,-2,BOX,2022-11-14,2022-11-14 11:53:52.683000-05:00,16727,SPRD/FLR,0.207234,-0.004079,0.34634,94.57,0.099995,84620.0,OPENING,,,1.3,1.45,1815,MPRL,38.0,30.0,BOX
378,4578,1129,PRMW230120C00010000,PRMW,67,2023-01-20,10.0,C,4.09947,4.0,1,[MULTI],2022-11-14,2022-11-14 12:13:43.543000-05:00,1142,ISO,0.605465,0.102046,0.925718,13.895,-0.415,988.0,OPENING,,,2.7,4.1,0,AMEX,7.0,127.0,PHLX
379,4594,1009,BFH221216P00040000,BFH,32,2022-12-16,40.0,P,1.6,1.53209,2,ARCA,2022-11-14,2022-11-14 12:40:08.136000-05:00,2003,SPRD/FLR,0.558321,0.029553,-0.319784,42.545,-0.435,4558.0,OPENING,,,1.45,1.6,350,BZX,9.0,78.0,PHLX
380,4596,1955,TRU221216C00070000,TRU,32,2022-12-16,70.0,C,1.3,1.50677,-2,BOX,2022-11-14,2022-11-14 12:44:21.149000-05:00,1955,FLR,0.33437,-0.025186,0.321538,66.43,1.41,13821.0,OPENING,,,1.3,1.7,20,PHLX,138.0,47.0,PHLX
