,index,size,option,root,dtx,expiry_date,strike,pc,price,theo,side,exch,date,date_time,volume,cond,ivol,ivol_chg,delta,spot,spot_chg,vega_dollar,cond_extra,hilo,events,bid,ask,open_int,bid_exch,bid_size,ask_size,ask_exch
10,107,566,OSG221118C00002500,OSG,51,2022-11-18,2.5,C,0.7,0.699999,-2,[MULTI],2022-09-28,2022-09-28 14:59:29.275000-04:00,1000,,1.15838,0.411377,0.71191,2.99,0.04,204.0,OPENING,,,0.7,0.75,15,CBOE,113.0,171.0,BZX
11,118,587,BFH221021C00035000,BFH,23,2022-10-21,35.0,C,1.00826,0.835711,3,[MULTI],2022-09-28,2022-09-28 15:27:54.384000-04:00,604,AUCT,0.595023,0.015519,0.338353,32.43,0.58,1751.0,OPENING,,,0.65,1.0,52,BZX,20.0,20.0,BZX
12,119,689,BFH221021C00035000,BFH,23,2022-10-21,35.0,C,1.05,0.880688,2,[MULTI],2022-09-28,2022-09-28 15:29:01.376000-04:00,1704,,0.612922,0.033418,0.343738,32.42,0.57,2066.0,OPENING,,,0.7,1.05,52,PHLX,12.0,171.0,BZX
13,130,1500,PAG221021P00095000,PAG,23,2022-10-21,95.0,P,1.4,1.3022,1,PHLX,2022-09-28,2022-09-28 15:49:18.698000-04:00,1500,SPRD/FLR,0.551279,0.043451,-0.167244,107.495,6.655,10173.0,OPENING,,,0.85,1.75,121,PHLX,166.0,135.0,PHLX
14,132,838,TWM221021P00017000,TWM,23,2022-10-21,17.0,P,0.651134,0.669227,-1,[MULTI],2022-09-28,2022-09-28 15:54:30.249000-04:00,1865,,0.69246,0.016687,-0.306094,18.245,-1.405,1348.0,OPENING,,,0.65,0.7,54,EMLD,216.0,476.0,BZX
15,140,500,FAZ221014C00031000,FAZ,15,2022-10-14,31.0,C,2.0,2.06432,-2,ARCA,2022-09-29,2022-09-29 09:46:47.648000-04:00,500,,1.1124,0.074688,0.451373,29.505,1.455,1190.0,OPENING,,,2.0,2.15,13,ARCA,500.0,238.0,PHLX
16,143,5000,XRX221216P00011000,XRX,78,2022-12-16,11.0,P,0.49,0.425685,1,BOX,2022-09-29,2022-09-29 10:14:15.343000-04:00,5000,SPRD/FLR,0.610405,0.038009,-0.203998,13.245,-1.005,8715.0,OPENING,,,0.35,0.5,3,PHLX,329.0,356.0,PHLX
17,144,1000,SILK221118C00050000,SILK,50,2022-11-18,50.0,C,2.75,3.06695,-1,BOX,2022-09-29,2022-09-29 10:14:23.870000-04:00,1000,FLR,0.568433,0.024939,0.430177,46.595,-1.345,6822.0,OPENING,,,1.5,4.9,3,BOX,37.0,50.0,BOX
18,159,2740,GFS221118P00040000,GFS,50,2022-11-18,40.0,P,1.28,1.32438,-1,[AMEX],2022-09-29,2022-09-29 10:50:44.466000-04:00,2756,FLR,0.691596,0.011692,-0.170214,49.46,-2.99,12745.0,OPENING,,,1.25,1.4,3,AMEX,2.0,1.0,ARCA
19,174,1000,EUO221021C00034000,EUO,22,2022-10-21,34.0,C,1.5,1.5004,1,PHLX,2022-09-29,2022-09-29 11:48:23.708000-04:00,1000,,0.271291,0.00548,0.677636,34.9506,-0.379405,3094.0,OPENING,,,1.4,1.55,163,ISE,146.0,206.0,MIAX
20,183,540,KROS221021C00030000,KROS,22,2022-10-21,30.0,C,8.25,8.36442,1,[AMEX],2022-09-29,2022-09-29 12:19:57.570000-04:00,540,FLR,1.15594,0.09939,0.81583,36.5,-0.15,1341.0,OPENING,,,5.7,10.0,0,AMEX,42.0,20.0,PHLX
21,186,1000,BHF221118C00045000,BHF,50,2022-11-18,45.0,C,2.55,2.6153,-2,[MULTI],2022-09-29,2022-09-29 12:23:17.770000-04:00,1063,,0.484191,-0.001978,0.471825,43.435,-1.095,6419.0,OPENING,,,2.55,2.7,119,ARCA,750.0,51.0,PHLX
22,187,500,ARKW221021C00050000,ARKW,22,2022-10-21,50.0,C,1.3998,1.23749,1,[MULTI],2022-09-29,2022-09-29 12:23:32.540000-04:00,4000,ISO,0.63501,0.034471,0.317596,45.775,-2.425,2011.0,OPENING,,,1.1,1.4,47,ARCA,31.0,500.0,BOX
23,190,5850,ARKW221021C00050000,ARKW,22,2022-10-21,50.0,C,1.45,1.32553,3,ARCA,2022-09-29,2022-09-29 12:24:33.820000-04:00,10010,FLR,0.660296,0.059757,0.326012,45.77,-2.43,23777.0,OPENING,,,1.25,1.4,47,C2,10.0,1.0,NOM
24,203,1500,WSM221118C00140000,WSM,50,2022-11-18,140.0,C,4.12,4.11074,1,AMEX,2022-09-29,2022-09-29 13:27:47.918000-04:00,1500,SPRD/CROSS,0.566514,0.018403,0.289726,121.915,-5.795,23077.0,OPENING,,,3.9,4.3,538,PHLX,20.0,52.0,PHLX
25,210,2000,DE221216P00310000,DE,78,2022-12-16,310.0,P,12.7,12.5936,1,BOX,2022-09-29,2022-09-29 13:50:11.143000-04:00,2002,FLR,0.438369,0.013736,-0.270738,341.595,-3.175,104823.0,OPENING,,,12.3,12.9,374,PHLX,42.0,72.0,CBOE
26,211,10000,ARES221118P00050000,ARES,50,2022-11-18,50.0,P,1.3,1.16086,-1,[MULTI],2022-09-29,2022-09-29 13:51:03.103000-04:00,10000,AUCT,0.639551,-0.005966,-0.152469,62.2496,-2.98044,54373.0,OPENING,,,0.1,2.85,2,PHLX,35.0,63.0,BOX
27,234,2000,BJ221021P00070000,BJ,22,2022-10-21,70.0,P,1.16,1.1198,1,AMEX,2022-09-29,2022-09-29 15:33:00.346000-04:00,2038,SPRD/CROSS,0.424937,0.016337,-0.240478,74.8593,-1.20066,11483.0,OPENING,,,1.0,1.25,1616,AMEX,321.0,207.0,PHLX
28,235,2000,BJ221021C00080000,BJ,22,2022-10-21,80.0,C,0.86,0.9034,-1,AMEX,2022-09-29,2022-09-29 15:33:00.346000-04:00,2101,SPRD/CROSS,0.349238,-0.007282,0.239414,74.8599,-1.20009,11469.0,OPENING,,,0.8,1.0,1095,PHLX,282.0,89.0,AMEX
